82264:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 75 @ sec=1.628952742, dt=0.008328
82265:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 76 @ sec=1.637286663, dt=0.008334
82266:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 77 @ sec=1.645622492, dt=0.008336
82267:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 78 @ sec=1.653955936, dt=0.008333
82268:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 79 @ sec=1.662288904, dt=0.008333
82269:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 80 @ sec=1.670622110, dt=0.008333
82270:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 81 @ sec=1.678953648, dt=0.008332
82271:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 82 @ sec=1.687285185, dt=0.008332
82272:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 83 @ sec=1.695618868, dt=0.008334
82273:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 84 @ sec=1.703953743, dt=0.008335
82274:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 85 @ sec=1.712325335, dt=0.008372
82280:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 86 @ sec=1.720622540, dt=0.008297
82281:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 87 @ sec=1.728952885, dt=0.008330
82282:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 88 @ sec=1.737285614, dt=0.008333
82283:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 89 @ sec=1.745620966, dt=0.008335
82284:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 90 @ sec=1.753955364, dt=0.008334
82285:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 91 @ sec=1.762289524, dt=0.008334
82286:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 92 @ sec=1.770621777, dt=0.008332
82287:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 93 @ sec=1.778953075, dt=0.008331
82288:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 94 @ sec=1.787286758, dt=0.008334
